ticker,sector,market_cap,bucket,effective_bucket,distress_type,verdict,status,api_distress,api_fraud,api_high_short,api_recent_raise,short_dtc,effective_reason,note,logic_version,last_processed_utc
TNXP,Health Care,176464656.0,WATCH,WATCH,,AGREE,done,0,0,0,1,5.08,, | RAISE:Tonix Pharmaceuticals Announces Pricing of Approximately $4.0 Million Public Offering - GlobeNewswire,v1-2026-06-09,2026-06-09T16:04:40Z
KULR,Information Technology,176239792.0,AVOID,AVOID,cash_burn,AVOID_unconfirmed,done,0,0,0,0,3.94,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
TONX,Financials,175810208.0,WATCH,WATCH,,AGREE,done,0,0,0,0,3.46,,,v1-2026-06-09,2026-06-09T16:04:40Z
FOA,Financials,175168000.0,WATCH,WATCH,,AGREE,done,0,0,0,0,9.1,,,v1-2026-06-09,2026-06-09T16:04:40Z
EPSN,Energy,175139488.0,DISTRESSED-RECOVERABLE,DISTRESSED-RECOVERABLE,,AGREE,done,0,0,0,0,7.19,,,v1-2026-06-09,2026-06-09T16:04:40Z
STRW,Financials,175082992.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,4.11,,,v1-2026-06-09,2026-06-09T16:04:40Z
EARN,Financials,175070608.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
BVFL,Financials,174824512.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,9.9,,,v1-2026-06-09,2026-06-09T16:04:40Z
LARK,Financials,174146080.0,CLEAR,CLEAR,,AGREE,done,0,0,1,0,18.32,,,v1-2026-06-09,2026-06-09T16:04:40Z
STXS,Health Care,173971328.0,AVOID,AVOID,cash_burn,CORROBORATED,done,0,0,1,0,10.64,API event/short-interest confirms the fundamentals AVOID,API distress/short-interest confirms,v1-2026-06-09,2026-06-09T16:04:40Z
IMUX,Health Care,173946352.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
INGN,Health Care,173547648.0,WATCH,WATCH,,AGREE,done,0,0,0,0,2.07,,,v1-2026-06-09,2026-06-09T16:04:40Z
FRD,Materials,173537264.0,WATCH,WATCH,,AGREE,done,0,0,0,0,5.5,,,v1-2026-06-09,2026-06-09T16:04:40Z
RFIL,Information Technology,173460848.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.0,,,v1-2026-06-09,2026-06-09T16:04:40Z
CBFV,Financials,173128224.0,CLEAR,CLEAR,,AGREE,done,0,0,1,0,28.42,,,v1-2026-06-09,2026-06-09T16:04:40Z
SJT,Financials,171986464.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
TGEN,Industrials,171729040.0,AVOID,AVOID,cash_burn,AVOID_unconfirmed,done,0,0,0,0,1.64,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
RNAC,Health Care,171588048.0,AVOID,AVOID,insolvency,CORROBORATED,done,0,0,1,1,11.87,API event/short-interest confirms the fundamentals AVOID,API distress/short-interest confirms | RAISE:Cartesian Therapeutics Announces $130 Million Private Placement Equity Financing,v1-2026-06-09,2026-06-09T16:04:40Z
ENLV,Health Care,171144592.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
FOCL,Health Care,170917840.0,AVOID,AVOID,cash_burn,AVOID_unconfirmed,done,0,0,0,0,,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
TAYD,Industrials,170709504.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.46,,,v1-2026-06-09,2026-06-09T16:04:40Z
RANG,Financials,170157872.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
ANTA,Financials,170106944.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
PERF,Unknown,170087280.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.0,,,v1-2026-06-09,2026-06-09T16:04:40Z
MNSB,Financials,169883968.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,4.79,,,v1-2026-06-09,2026-06-09T16:04:40Z
CHCI,Real Estate,169687648.0,WATCH,WATCH,,AGREE,done,0,0,0,0,2.09,,,v1-2026-06-09,2026-06-09T16:04:40Z
OKUR,Health Care,169257056.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
IMDX,Health Care,169200480.0,AVOID,AVOID,insolvency,AVOID_unconfirmed,done,0,0,0,0,2.11,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
ONEW,Consumer Discretionary,169166576.0,DISTRESSED-RECOVERABLE,DISTRESSED-RECOVERABLE,,AGREE,done,0,0,0,0,9.73,,,v1-2026-06-09,2026-06-09T16:04:40Z
HNVR,Financials,168897200.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,2.34,,,v1-2026-06-09,2026-06-09T16:04:40Z
RCMT,Information Technology,168543472.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,2.68,,,v1-2026-06-09,2026-06-09T16:04:40Z
DTIL,Health Care,167714608.0,AVOID,AVOID,cash_burn,AVOID_unconfirmed,done,0,0,0,0,6.53,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
FLX,Unknown,166736192.0,CLEAR,CLEAR,,AGREE,done,0,0,0,1,1.0,, | RAISE:BingEx Secures Strategic Investment from HLID to Accelerate Drone Delivery,v1-2026-06-09,2026-06-09T16:04:40Z
ACU,Materials,166626992.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,3.48,,,v1-2026-06-09,2026-06-09T16:04:40Z
ESP,Information Technology,165614560.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.0,,,v1-2026-06-09,2026-06-09T16:04:40Z
THRY,Information Technology,164981200.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,2.84,,,v1-2026-06-09,2026-06-09T16:04:40Z
CURI,Communication Services,164523088.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,3.52,,,v1-2026-06-09,2026-06-09T16:04:40Z
DERM,Health Care,164381248.0,AVOID,AVOID,cash_burn,CORROBORATED,done,0,0,1,0,11.39,API event/short-interest confirms the fundamentals AVOID,API distress/short-interest confirms,v1-2026-06-09,2026-06-09T16:04:40Z
WHG,Financials,163857392.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,7.62,,,v1-2026-06-09,2026-06-09T16:04:40Z
